P//2.0                                                                                                                        

130220-12:14:55 	PSetLeftMargin(0) 500---other error
130220-12:14:55 	PSetCharSpace(0) 500---other error
130220-12:14:55 	PFeedLine(2) 500---other error
130220-12:15:12 	PPrinterIsReady() 500---other error
130220-12:15:12 	PPrinterIsReady() 500---other error
130220-12:15:12 	PPrinterIsReady() 500---other error
130220-12:15:12 	PSetCutterMode(0) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e898) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PSetCutterMode(1) 500---other error
130220-12:15:12 	PPrintString(0x8b4e860) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b545f8) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b51d20) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b5f468) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b518d0) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b578e0) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b58f50) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b53e38) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b564e8) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b5cb68) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b58920) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b59580) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b57fc8) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b5ee38) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b5a3f0) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b57258) 500---other error
130220-12:15:12 	PFeedLine(1) 500---other error
130220-12:15:12 	PPrintString(0x8b59790) 500---other error
